# source_model_tree_path=('ltbrTrueMean',), gsim_tree_path=('b1',), investigation_time=50.0, imt="FIV3(0.1)"
lon,lat,depth,poe-0.1,poe-0.1547,poe-0.2394,poe-0.3705,poe-0.5732,poe-0.887,poe-1.3724,poe-2.1236,poe-3.2859,poe-5.0844,poe-7.8672,poe-12.1732,poe-18.8359,poe-29.1452,poe-45.0972,poe-69.7801,poe-107.9726,poe-167.069,poe-258.5103,poe-400.0
-122.48869,37.32913,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999707E-01,9.983442E-01,9.742417E-01,8.479430E-01,5.856317E-01,3.316879E-01,1.465770E-01,5.446086E-02,1.340928E-02,1.498876E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.33812,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999781E-01,9.987316E-01,9.770514E-01,8.582939E-01,5.982800E-01,3.286737E-01,1.482822E-01,5.493351E-02,1.587268E-02,3.493882E-03,9.995002E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.34711,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999713E-01,9.985063E-01,9.747266E-01,8.476386E-01,5.964682E-01,3.399898E-01,1.580208E-01,5.209406E-02,1.242220E-02,1.998001E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.35611,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999718E-01,9.984282E-01,9.743446E-01,8.530260E-01,5.911881E-01,3.340229E-01,1.474300E-01,5.256789E-02,1.538049E-02,3.493882E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.36510,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999734E-01,9.985862E-01,9.755958E-01,8.555035E-01,6.066282E-01,3.416378E-01,1.684801E-01,6.480480E-02,1.832993E-02,2.496878E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.37410,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999709E-01,9.985248E-01,9.767395E-01,8.561523E-01,5.970731E-01,3.376757E-01,1.672318E-01,6.713986E-02,1.783897E-02,2.995505E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.38309,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999718E-01,9.985533E-01,9.756202E-01,8.544157E-01,6.190168E-01,3.517637E-01,1.688957E-01,6.433708E-02,2.029130E-02,6.478921E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48868,37.39208,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999706E-01,9.985204E-01,9.769710E-01,8.591416E-01,6.134523E-01,3.655520E-01,1.742804E-01,7.272027E-02,2.273752E-02,4.987521E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48868,37.40107,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999722E-01,9.985670E-01,9.779292E-01,8.606129E-01,6.144174E-01,3.614147E-01,1.767538E-01,7.457297E-02,2.566491E-02,6.975557E-03,1.998001E-03,0.000000E+00,0.000000E+00,0.000000E+00
-122.48868,37.41007,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999726E-01,9.985641E-01,9.776627E-01,8.630309E-01,6.117089E-01,3.475364E-01,1.788094E-01,7.596008E-02,2.615196E-02,5.982036E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00
-122.48868,37.41906,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999654E-01,9.983940E-01,9.749655E-01,8.614467E-01,6.167240E-01,3.649173E-01,1.886048E-01,8.332291E-02,3.003957E-02,8.959621E-03,1.998001E-03,0.000000E+00,0.000000E+00,0.000000E+00
-122.48868,37.42805,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999703E-01,9.985439E-01,9.771430E-01,8.616543E-01,6.126784E-01,3.696626E-01,1.841298E-01,8.469689E-02,3.584190E-02,7.968085E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48867,37.43705,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999724E-01,9.985770E-01,9.778961E-01,8.674771E-01,6.248765E-01,3.805975E-01,1.978824E-01,9.153599E-02,2.566491E-02,5.982036E-03,1.498876E-03,0.000000E+00,0.000000E+00,0.000000E+00
-122.48867,37.44604,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999698E-01,9.984508E-01,9.760671E-01,8.616543E-01,6.216744E-01,3.759345E-01,2.014838E-01,8.880650E-02,3.246144E-02,7.471945E-03,1.498876E-03,0.000000E+00,0.000000E+00,0.000000E+00
-122.48867,37.45503,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999681E-01,9.984822E-01,9.779403E-01,8.701013E-01,6.317525E-01,3.901242E-01,2.117973E-01,9.606697E-02,3.776830E-02,1.390246E-02,2.496878E-03,0.000000E+00,0.000000E+00,0.000000E+00
-122.48867,37.46403,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999719E-01,9.986059E-01,9.789531E-01,8.695154E-01,6.330391E-01,3.934693E-01,2.114031E-01,1.068493E-01,3.921056E-02,1.093972E-02,2.496878E-03,0.000000E+00,0.000000E+00,0.000000E+00
-122.48867,37.47302,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999650E-01,9.983133E-01,9.759351E-01,8.581521E-01,6.297216E-01,3.889033E-01,2.192498E-01,9.742185E-02,4.017087E-02,1.340928E-02,2.496878E-03,9.995002E-04,0.000000E+00,0.000000E+00
-122.48867,37.48201,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999714E-01,9.985278E-01,9.780502E-01,8.695806E-01,6.404852E-01,3.970976E-01,2.243082E-01,1.104148E-01,4.543544E-02,1.242220E-02,3.992011E-03,9.995002E-04,0.000000E+00,0.000000E+00
-122.48866,37.49100,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999641E-01,9.983032E-01,9.753752E-01,8.611693E-01,6.243134E-01,3.876798E-01,2.208097E-01,1.041659E-01,4.591260E-02,1.192829E-02,2.995505E-03,0.000000E+00,0.000000E+00,0.000000E+00
