# source_model_tree_path=('ltbrTrueMean',), gsim_tree_path=('b1',), investigation_time=50.0, imt="FIV3(1.0)"
lon,lat,depth,poe-0.1,poe-0.1547,poe-0.2394,poe-0.3705,poe-0.5732,poe-0.887,poe-1.3724,poe-2.1236,poe-3.2859,poe-5.0844,poe-7.8672,poe-12.1732,poe-18.8359,poe-29.1452,poe-45.0972,poe-69.7801,poe-107.9726,poe-167.069,poe-258.5103,poe-400.0
-122.48869,37.32014,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999943E-01,9.996118E-01,9.926054E-01,9.408985E-01,7.729307E-01,4.961618E-01,2.680185E-01,1.262841E-01,4.924607E-02,1.291586E-02,3.493882E-03
-122.48869,37.32913,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999943E-01,9.996034E-01,9.920969E-01,9.371497E-01,7.609302E-01,5.053971E-01,2.832298E-01,1.236590E-01,4.829484E-02,1.587268E-02,2.496878E-03
-122.48869,37.33812,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999946E-01,9.996073E-01,9.923496E-01,9.385481E-01,7.639000E-01,5.071251E-01,2.771113E-01,1.367060E-01,5.256789E-02,1.192829E-02,1.998001E-03
-122.48869,37.34711,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999943E-01,9.996216E-01,9.923992E-01,9.408985E-01,7.696142E-01,5.125171E-01,2.850195E-01,1.440129E-01,6.152588E-02,1.636462E-02,5.982036E-03
-122.48869,37.35611,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999934E-01,9.995575E-01,9.920374E-01,9.389157E-01,7.651950E-01,4.938894E-01,2.702111E-01,1.319448E-01,5.209406E-02,1.685631E-02,3.493882E-03
-122.48869,37.36510,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999934E-01,9.995712E-01,9.916459E-01,9.392507E-01,7.650776E-01,5.134910E-01,2.871612E-01,1.341123E-01,5.540593E-02,1.636462E-02,3.992011E-03
-122.48869,37.37410,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999940E-01,9.996034E-01,9.924144E-01,9.388546E-01,7.707633E-01,5.164014E-01,2.928412E-01,1.470036E-01,6.713986E-02,2.029130E-02,4.987521E-03
-122.48869,37.38309,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999916E-01,9.995033E-01,9.909002E-01,9.310932E-01,7.480438E-01,4.936363E-01,2.738510E-01,1.349777E-01,6.293254E-02,2.273752E-02,6.975557E-03
-122.48868,37.39208,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999937E-01,9.995876E-01,9.925905E-01,9.413401E-01,7.731577E-01,5.214526E-01,3.012764E-01,1.567569E-01,6.480480E-02,1.882064E-02,5.484903E-03
-122.48868,37.40107,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999927E-01,9.995426E-01,9.918481E-01,9.375882E-01,7.700745E-01,5.125171E-01,3.009269E-01,1.584417E-01,7.364709E-02,2.420231E-02,5.982036E-03
